,Train_accuracy,Train_accuracy_original,Test_accuracy,epoch number
90,0.963949978351593,0.845883309841156,0.8866999745368958,91
91,0.9555666446685791,0.8500999808311462,0.8834999799728394,92
92,0.955299973487854,0.8463500142097473,0.8698999881744385,93
93,0.963949978351593,0.8389666676521301,0.8611999750137329,94
94,0.9620166420936584,0.8398000001907349,0.8687000274658203,95
95,0.9678000211715698,0.8416833281517029,0.8840000033378601,96
96,0.9721999764442444,0.8360833525657654,0.8676999807357788,97
97,0.9608833193778992,0.8346166610717773,0.8496000170707703,98
98,0.9537500143051147,0.8457000255584717,0.8665000200271606,99
99,0.9729499816894531,0.8364333510398865,0.879800021648407,100
100,0.9729666709899902,0.8383333086967468,0.8684999942779541,101
101,0.9681000113487244,0.8375833630561829,0.8614000082015991,102
102,0.9751333594322205,0.8378000259399414,0.8754000067710876,103
